upn,eks,aws,organization
tkrishnakumar,developer,readOnly,zuora-zcloud&zuora-revenue-core
rdayalan,developer,readOnly,zuora-zcloud
skrishnamurthi,developer,readOnly,zuora-zcloud
prajendiran,developer,readOnly,zuora-zcloud
mlawson,developer,readOnly,zuora-platform&zuora-zcloud
ayalmurishekar,developer,readOnly,zuora-platform&zuora-zcloud
kcambronero,developer,readOnly,zuora-zcloud
hchiang,developer,readOnly,zuora-zcloud
bjustice.zteam,developer,readOnly,zuora-zcloud
sigupta,developer,readOnly,zuora-zcloud
abeyerlein,developer,readOnly,zuora-zcloud&zuora-platform
nkeshidi,developer,readOnly,zuora-zcloud
dmunshi,developer,readOnly,zuora-zcloud
yye,developer,readOnly,zuora-zcloud
ysuo,developer,readOnly,zuora-zcloud
bkues,developer,readOnly,zuora-platform
pmikitsh,developer,readOnly,zuora-platform
ak,developer,readOnly,zuora-revenue-core
dwilson,developer,readOnly,zuora-platform
chlu,developer,readOnly,zuora-platform
abarashev,developer,readOnly,zuora-cornerstone
guili.guo,developer,readOnly,zuora-platform
rkumar,developer,readOnly,zuora-platform
bsheddy,developer,readOnly,zuora-platform
mdai,developer,readOnly,zuora-platform
clockhart,developer,readOnly,zuora-platform
vbaalaji,developer,readOnly,zuora-platform
knaidoo,developer,readOnly,zuora-platform
abalasubramanian,developer,readOnly,zuora-platform
xmao,developer,readOnly,zuora-platform
yaliu,developer,readOnly,zuora-platform
taylor.medford,developer,readOnly,zuora-platform
awolf,developer,readOnly,zuora-platform
sathkumar,developer,readOnly,zuora-platform
twosum,developer,fullAdmin,zuora-zcloud
rosa,developer,readOnly,zuora-zcloud
lucy,developer,readOnly,zuora-zcloud&zuora-collect
rebecca,admin,readOnly,zuora-zcloud
publix,developer,fullAdmin,zuora-zcloud
oa,admin,readOnly,zuora-collect
asvv,admin,fullAdmin,zuora-revenue-core
vfv,admin,fullAdmin,zuora-platform
